|||Sütunlar||||||||||||||||||||||||||
Satırlar|||Ankara(Akyurt)-1872|Ankara(Altındağ)-1130|Ankara(Ayaş)-1157|Ankara(Bala)-1167|Ankara(Beypazarı)-1187|Ankara(Elmadağ)-1302|Ankara(Etimesgut)-1922|Ankara(Evren)-1924|Ankara(Gölbaşı)-1744|Ankara(Güdül)-1365|Ankara(Haymana)-1387|Ankara(Kahramankazan)-1815|Ankara(Kalecik)-1427|Ankara(Kazan)-1815|Ankara(Keçiören)-1745|Ankara(Kızılcahamam)-1473|Ankara(Mamak)-1746|Ankara(Nallıhan)-1539|Ankara(Polatlı)-1578|Ankara(Pursaklar)-2034|Ankara(Sincan)-1747|Ankara(Yenimahalle)-1723|Ankara(Çamlıdere)-1227|Ankara(Çankaya)-1231|Ankara(Çubuk)-1260|Ankara(Şereflikoçhisar)-1658|
|||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||
||2009|0.0|0.0|215.0|81.0|0.0|55.0|0.0|0.0|0.0|0.0|2950.0||350.0|2429.0|0.0|0.0|0.0|17.0|900.0|100.0|190.0|0.0|0.0|0.0|150.0|611.0|
||2010|0.0|0.0|210.0|82.0|0.0|50.0|0.0|0.0|0.0|0.0|2750.0||349.0|981.0|0.0|0.0|0.0|15.0|500.0|0.0|196.0|0.0|0.0|0.0|250.0|593.0|
||2011|50.0|50.0|220.0|74.0||60.0|50.0||||2600.0||359.0|1500.0|5.0||213.0|16.0|200.0|0.0|185.0|175.0||0.0|300.0|482.0|
||2012|125.0|50.0|250.0|69.0|0.0|61.0|100.0||||273.0||432.0|2000.0|5.0||190.0|17.0|200.0||181.0|105.0|50.0||300.0|500.0|
||2013|125.0|50.0|131.0|0.0|0.0|148.0|50.0|0.0|10.0|0.0|1371.0||243.0|6265.0|10.0|30.0|174.0|0.0|195.0|0.0|186.0|240.0|50.0|0.0|300.0|417.0|
||2014|130.0|50.0|135.0|24.0|0.0|172.0|175.0|5.0|22.0||1298.0||163.0|2000.0|50.0|35.0|170.0|0.0|200.0|0.0|195.0|120.0|60.0|0.0|210.0|600.0|
||2015|125.0|60.0|140.0|26.0|0.0|163.0|150.0|10.0|26.0|0.0|1300.0||0.0|1970.0|55.0|40.0|175.0|0.0|195.0|55.0|151.0|100.0|70.0|4.0|220.0|400.0|
||2016|139.0|55.0|22.0|35.0|0.0|128.0|200.0|10.0|23.0|0.0|1320.0||0.0|1980.0|75.0|50.0|200.0|60.0|190.0|60.0|175.0|120.0|85.0|10.0|200.0|450.0|
||2017|145.0|58.0|28.0|48.0|0.0|102.0|180.0|16.0|395.0|328.0|1200.0|400.0|0.0||64.0|65.0|199.0|50.0|195.0|100.0|170.0|110.0|90.0|25.0|220.0|500.0|
||2018|161.0|50.0|70.0|64.0|0.0|125.0|190.0|16.0|310.0|340.0|1050.0|16410.0|0.0||65.0|50.0|260.0|2550.0|150.0|80.0|160.0|85.0|80.0|25.0|225.0|515.0|
||2019|169.0|50.0|90.0|274.0|0.0|105.0|115.0|25.0|265.0|338.0|1100.0|0.0|0.0||55.0|6000.0|220.0|150.0|200.0|75.0|180.0|80.0|90.0|50.0|210.0|500.0|
||2020|163.0|49.0|40.0|218.0|0.0|165.0|120.0|26.0|250.0|392.0|800.0|95.0|0.0||45.0|18.0|220.0|362.0|3650.0|120.0|225.0|70.0|95.0|201.0|210.0|417.0|
||2021|172.0|50.0|50.0|195.0|0.0|136.0|95.0|25.0|420.0|403.0|870.0|13740.0|0.0||50.0|26.0|232.0|2850.0|3800.0|115.0|200.0|75.0|100.0|250.0|155.0|350.0|
||2022|180.0|50.0|41.0|256.0|0.0|142.0|60.0|21.0|575.0|400.0|800.0|13745.0|0.0||55.0|15015.0|201.0|2880.0|350.0|3611.0|170.0|100.0|110.0|260.0|150.0|340.0|
||2023|191.0|50.0|37.0|214.0|0.0|150.0|50.0|15.0|705.0|370.0|890.0|17450.0|0.0||42.0|25025.0|192.0|2800.0|347.0|2599.0|150.0|65.0|115.0|50.0|140.0|328.0|
||2024|200.0|50.0|41.0|220.0|0.0|75.0|55.0|14.0|670.0|380.0|905.0|7840.0|0.0||0.0|5020.0|183.0|2815.0|300.0|3526.0|140.0|90.0|105.0|30.0|125.0|327.0|
|||||||||||||||||||||||||||||
