|||Sütunlar||||||||||||||||||||||||||
Satırlar|||Ankara(Akyurt)-1872|Ankara(Altındağ)-1130|Ankara(Ayaş)-1157|Ankara(Bala)-1167|Ankara(Beypazarı)-1187|Ankara(Elmadağ)-1302|Ankara(Etimesgut)-1922|Ankara(Evren)-1924|Ankara(Gölbaşı)-1744|Ankara(Güdül)-1365|Ankara(Haymana)-1387|Ankara(Kahramankazan)-1815|Ankara(Kalecik)-1427|Ankara(Kazan)-1815|Ankara(Keçiören)-1745|Ankara(Kızılcahamam)-1473|Ankara(Mamak)-1746|Ankara(Nallıhan)-1539|Ankara(Polatlı)-1578|Ankara(Pursaklar)-2034|Ankara(Sincan)-1747|Ankara(Yenimahalle)-1723|Ankara(Çamlıdere)-1227|Ankara(Çankaya)-1231|Ankara(Çubuk)-1260|Ankara(Şereflikoçhisar)-1658|
|||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||
||2022|6018.0|1066.0|1845.0|8000.0|986.0|3450.0|273.0|622.0|3780.0|1500.0|6980.0|2750.0|6311.0||475.0|6736.0|1890.0|2928.0|1900.0|382.0|3353.0|336.0|850.0|2214.0|13300.0|4583.0|
||2023|6444.0|2748.0|1483.0|5677.0|867.0|3589.0|242.0|636.0|4637.0|2415.0|7572.0|2372.0|6459.0||680.0|7278.0|1758.0|1943.0|9392.0|385.0|3193.0|733.0|1074.0|2393.0|13484.0|3783.0|
||2024|5853.0|2353.0|1125.0|5720.0|3532.0|3030.0|330.0|699.0|5470.0|2400.0|11351.0|2623.0|8815.0||1115.0|9031.0|2001.0|970.0|10003.0|361.0|5528.0|561.0|1365.0|3548.0|13939.0|4000.0|
|01.41.10.02.02. (Süt Sığırları, Canlı (Kültür Melezi), 1 - 2 Yaş Arası Dişi (Düve))|2004|250.0|350.0|330.0|650.0|700.0|464.0|15.0|100.0|173.0|300.0|2200.0||500.0|620.0|175.0|330.0|40.0|1450.0|800.0||180.0|98.0|100.0|25.0|3050.0|1100.0|
||2005|245.0|300.0|480.0|1200.0|350.0|472.0|15.0|200.0|374.0|500.0|2400.0||500.0|590.0|210.0|230.0|40.0|1470.0|400.0||321.0|100.0|150.0|25.0|3150.0|350.0|
||2006|400.0|300.0|475.0|1150.0|500.0|460.0|15.0|200.0|324.0|600.0|2400.0||500.0|690.0|200.0|100.0|40.0|1770.0|400.0||180.0|96.0|200.0|25.0|3105.0|380.0|
||2007|500.0|310.0|90.0|1050.0|410.0|443.0|13.0|148.0|173.0|140.0|514.0||255.0|340.0|140.0|300.0|63.0|2144.0|810.0||162.0|92.0|226.0|40.0|3260.0|1100.0|
||2008|550.0|345.0|47.0|250.0|400.0|420.0|18.0|155.0|191.0|145.0|515.0||891.0|380.0|155.0|850.0|80.0|860.0|480.0||150.0|124.0|300.0|50.0|3660.0|1155.0|
||2009|500.0|200.0|35.0|100.0|357.0|328.0||150.0|305.0|90.0|340.0||608.0|310.0|50.0|1100.0|350.0|862.0|385.0|150.0|107.0|120.0|600.0|150.0|3590.0|1160.0|
||2010|620.0|120.0|33.0|97.0|745.0|373.0||145.0|355.0|130.0|225.0||813.0|450.0|65.0|1100.0|500.0|858.0|390.0|140.0|126.0|220.0|300.0|120.0|3805.0|1326.0|
